cpg	estimate	mean	weighted_mean	sd	y_int
cg02339122	-0.214848238809376	0.29750336498918	0.336716938213486	0.0651298953867987	8.34532663770318
cg03313447	-0.264997649304189	0.291001261285132	0.323014242941343	0.0364346076298958	8.34532663770318
cg04233054	1.14031980863542	0.545081939840904	0.486041697769944	0.0761778457958165	8.34532663770318
cg05211790	0.329219657763761	0.823963006278454	0.794183746551715	0.0488964487510394	8.34532663770318
cg05773155	-0.443271755856961	0.267884713566745	0.291783966929124	0.0339081145011416	8.34532663770318
cg07168214	-1.14879867994201	0.662973009128672	0.706212475485993	0.051412574914947	8.34532663770318
cg08103568	-3.63254668763591	0.611217259126024	0.657040910469354	0.0619093924574481	8.34532663770318
cg08621277	1.38622497249957	0.840038946793104	0.8156684532212	0.032284478614294	8.34532663770318
cg13393036	-0.430206667604826	0.123951776570682	0.146102781505746	0.0353957740532842	8.34532663770318
cg13659813	-2.39196256947922	0.0853272096531295	0.102874307198019	0.0237947737960226	8.34532663770318
cg14150907	0.873747568629918	0.0817121045107041	0.0638211967873654	0.0244421735921026	8.34532663770318
cg17196465	2.44694049220634	0.818832172627437	0.798011042784809	0.0301419188436881	8.34532663770318
cg20648272	-0.296579585391971	0.189344374054065	0.227009654429193	0.060890362668401	8.34532663770318
cg21702971	0.143720921896973	0.963639009364793	0.942195372284725	0.0294547210032046	8.34532663770318
cg22211564	-0.213109648932512	0.152746834678563	0.172503503375267	0.0327170322431956	8.34532663770318
cg23894219	-0.295458680509126	0.655639265035641	0.679244551415094	0.0378414569949901	8.34532663770318
cg27189723	-1.26674242335938	0.628718696039315	0.65143910766655	0.0335268015923241	8.34532663770318
cg27402634	-1.83527913084586	0.454904852107265	0.640071904471005	0.15955537858639	8.34532663770318
